"Sample","0027_XAV_iHMP2_FFA_SM-77FXR","0030_XAV_iHMP2_FFA_SM-6KUCT","0051_XAV_iHMP2_FFA_SM-9WOBP","0069_XAV_iHMP2_FFA_SM-9OS5Y","0393_XAV_iHMP2_FFA_SM-AMR37","0407_XAV_iHMP2_FFA_SM-AUP8B","0433_XAV_iHMP2_FFA_SM-9SNJ4","0508_XAV_iHMP2_FFA_SM-9X47O"
"Label","CD","CD","CD","CD","nonIBD","nonIBD","nonIBD","nonIBD"
"136.07572","212948.13476","33700.49287","2242.60279","1175113.38843","18742158.11763","6982341.93318","15346666.02403","3151903.92995"
"136.07566","2010395.38485","72986.28082",NA,"3318119.74479","984911.41437","406451.6215","993478.22155","177833.59577"
"136.89064","53877.15121","14718.38536",NA,"12629407.37174","23695790.251","20901142.46479","20436453.01256","12571502.76375"
"137.0596","1509385.20852","8245384.20599","1988338.17742","68386296.8587","2055234.96775","14770197.14144","718483.68392","34768674.05846"
"137.07907","114729.0176",NA,NA,"208705.52097","17242.00891","877007.0758","7315.69074","2276.08701"
"137.07905","28357.71555",NA,NA,"22311.2502","1582865.5583","561593.74239","1251653.31383","220507.02281"
"138.05497","103349562.14111","641314.24194","475508.83654","29663644.70716","42805536.44774","28010554.63288","88360652.37792","3353557.45254"
"137.89079","38073.56968","40563.58237","2130695.9829","317795.25272","754189.62551","2104635.37939","943756.96878","111633.84836"
"138.06307","39563.8177","574279.56284",NA,"5579513.03016","817905.30442","982854.43115","6318.81258","2587706.13163"
"139.05815","3799343.23624","203615.50755","90921.22794","777988.05775","7463669.50475","1699993.60518","6221277.47858","4080859.48329"
"139.11174","490939.08829","305222.93059","169154.06187","1437036.05864","6081887.17874","3967772.14434","6476140.07043","3266833.84019"
"140.11514","4136.12123","3711.09744",NA,"28882.93582","267449.10324","194189.37324","485997.5181","75751.97432"
"141.01582","3426111.25508","14253516.43556","5007291.6214","2068273.88946","3250987.27591","3834769.12249","3826350.73223","5956841.21926"
"142.01929","20773.18096","42182.17241","29943.99229","5607.09622","69526.32077","64979.23711","104101.00562","181505.00049"
"143.10661","1023340.46516","4984968.72161","879374.9938","250620.43092","279980490.93371","1623402.88921","1072185.88636","2296642.09494"
"143.07034","2023160.30694","826782.72334","233464.01192","164220923.71991","4079488.57113","7762221.4355","20282680.84207","18611324.92626"
"144.04442","27949652.3629","5521573.37962","23258678.11372","18269172.91859","82717359.75854","16313649.24398","29246322.10024","15994453.42253"
"144.04441","20644926.68363","8907969.01313","1360692.8507","2526845.76311","16639499.09789","17272193.42206","10894123.21197","4770630.11003"
"144.10995",NA,"319707.52734","15094.77051","4044.67534","24455977.08993","21710.26251","18988.49051","152152.77013"
"144.07368","45367.36917",NA,NA,"6609298.39238","7274.9433","420621.12036","1219414.05056","1218471.5637"
"144.99824","5678201.79663","2932667.73429","88745.2565","7003328.30549","1713338.94929","4505994.60792","2929619.08756","3552955.00661"
"145.04749","2360417.56046","298267.25162","893908.48824","1291428.00922","231508.47255","766353.71947","2458595.26136","1189740.14568"
"145.0496","6230010.21642","2074761.36311","349536.98212","2866152.2044","32092297.55265","45916599.66753","42280529.76301","12924200.09063"
"145.04752","1395342.55056","228281.89991",NA,NA,"312514.59258","1063611.3225","607884.5829","2571.72948"
"145.09722","16238747.6249","46801606.29874","217165088.39282","12153826.65239","74098284.10581","56118250.4567","10002837.02478","13100864.56049"
"145.99874","352868.87853","221576.47315","146780.71196","813219.58885","197317.08911","494143.41126","352614.44442","130694.29019"
"146.06001","151349366.25798","60500221.62558","2381640.79229","12466023.25405","89933427.59459","117924448.36711","72336505.37541","7200196.09801"
"146.05285","312474.3637","132550.72958",NA,"16794.50586","1068919.15805","2752823.64439","2491631.85965","258092.73336"
"146.1002","861624.47343","2827891.73745","13831340.13165","575270.51846","3672238.32414","3190987.952","464649.75231","776593.22878"
"146.9958","709618.42769","279760.14308","655230.44697","29488802.79238","134466.3503","6407122.38831","321132.40337","436588.15118"
"147.06334","14516994.49243","5740014.17206","165826.00909","1045961.96893","8209335.84903","11380807.73596","6701958.706","624819.11846"
"148.06672","441028.34446","145542.61965",NA,NA,"43168.19979","357780.84335","99967.21831",NA
"148.94872","3024639.88075","2316188.14267","2469699.30824","2560287.7389","864322.99725","2842239.80179","2758452.74725","2905397.71739"
"149.05976","212175064.36537","1224754.47193","110209.97775","33192768.13043","115117903.15459","89344134.18759","162220406.14575","43434200.74591"
"149.09611","3068242.31987","1729.33004",NA,NA,"1754523.96694","1151646.18015","5202820.62274","552965.15209"
"149.9495","192383.32187","170300.90115","279466.03243","148640.84698","134996.52416","250284.25777","215487.88877","199806.78619"
"150.06307","20785168.15465","78123.96951","1812.67393","3060966.52334","11076863.01189","8711070.07103","15936035.93383","4163235.80912"
"150.09944","297903.55778",NA,NA,NA,"25730.67035","58733.95527","490861.95897","9974.2003"
"151.02522","96218923.842","54409567.88628","255745955.69174","108774292.22108","307462061.53646","240797883.23414","74195438.13662","54467539.67673"
"150.94594","1193335.0755","962226.10019","1011777.85977","950476.86708","551566.38993","1128436.94361","1006686.7239","1209324.23752"
"151.03899","13888477.94609","39635332.20656","3740007.39135","83362465.01349","1805459.82269","7845740.08525","7733841.54283","8548219.51141"
