"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"272.23134359",0.1271,0.12586,0.12978,0.13041,0.13043
"272.23105",0.23785,0.23561,0.23609,0.23636,0.23636
"272.19524",1.8022,1.7818,1.7784,1.778,1.778
"272.23154",0.63099,0.62416,0.62397,0.62378,0.62378
"272.23124",0.18555,0.20293,0.20271,0.20342,0.20347
"273.17088",0.39419,0.39024,0.38955,0.38973,0.38974
"273.11128",0.064629,0.06388,0.065843,0.066516,0.066607
"273.12472",0.64338,0.64194,0.64077,0.64057,0.64057
"273.11383",1.1751,1.162,1.1638,1.1636,1.1636
"273.20764",0.17775,0.18947,0.1892,0.18914,0.18913
"273.23413",0.21842,0.21846,0.22098,0.22129,0.22129
"274.03342",0.21713,0.35853,0.35779,0.3592,0.35926
"274.95684",0.26187,0.26323,0.26549,0.26555,0.26555
"275.09298",0.47489,0.5141,0.51624,0.51607,0.51607
"275.0369",2.0078,1.9979,1.9979,1.9973,1.9973
"275.18658",0.057987,0.065685,0.075266,0.075807,0.075973
"275.20199",0.097511,0.10767,0.10905,0.10917,0.10918
"275.95762",0.26714,0.26862,0.27094,0.271,0.27099
"277.03966",1.6014,1.5828,1.5795,1.5797,1.5797
"277.15595",0.16122,0.17483,0.17446,0.17444,0.17449
"277.18097",0.25126,0.24911,0.25099,0.25108,0.25108
"277.12285",1.7682,1.7723,1.7699,1.7695,1.7695
"277.14465",0.13581,0.14252,0.15361,0.15386,0.15388
"277.13208",0.81547,0.93328,0.95834,0.95814,0.95827
"277.12285827",2.5815,2.5772,2.5727,2.5719,2.5718
"277.21765",0.071875,0.0931,0.097047,0.097349,0.097404
"277.06711",0.2666,0.27047,0.27115,0.2711,0.2711
"277.21756",0.36326,0.35979,0.35924,0.35981,0.35981
"278.15935",0.16287,0.17557,0.17542,0.17552,0.17556
"278.21985",0.085214,0.095896,0.10161,0.10182,0.10187
"279.01898",0.91589,0.93608,0.93557,0.93529,0.93528
"279.22342",0.25872,0.25635,0.26477,0.2647,0.26473
"279.23344",0.055961,0.085363,0.086085,0.086324,0.086379
"279.23325",0.46544,0.46701,0.46608,0.46644,0.46643
"279.61423",0.49912,0.50921,0.52296,0.52624,0.52633
"280.02064",0.12661,0.12747,0.12887,0.12966,0.12966
"280.11554",0.92512,0.91751,0.93987,0.94193,0.94192
"280.23453",0.055004,0.08645,0.087025,0.087296,0.087355
"280.23589",0.86402,0.94068,0.93899,0.93891,0.93905
"280.90852",0.15809,0.18675,0.18672,0.18677,0.18679
"281.10312",0.10465,0.14748,0.14846,0.15122,0.15122
"281.13968",0.20396,0.20264,0.20227,0.20314,0.20315
"281.1737",0.13025,0.22789,0.23324,0.23385,0.23386
"281.13956",0.93937,0.92899,0.92694,0.92667,0.92666
"281.23803",0.056396,0.085312,0.085922,0.08624,0.086292
