"","Fold Change","log2(FC)"
"560.45564",86.742,6.4387
"261.06194",86.631,6.4368
"333.20753",0.011557,-6.4351
"477.25017",0.011665,-6.4216
"466.33066",85.699,6.4212
"554.32325",85.108,6.4112
"321.24382",0.011757,-6.4103
"477.28177",84.625,6.403
"544.26583",84.557,6.4018
"538.30292",84.54,6.4016
"386.29173",84.265,6.3969
"427.23379",84.085,6.3938
"323.16167",0.012018,-6.3787
"418.28129",82.851,6.3724
"413.1636",82.695,6.3697
"589.30356",82.656,6.369
"376.21678",0.012122,-6.3662
"516.29395",82.188,6.3609
"408.28305",82.057,6.3586
"467.3338",81.847,6.3549
"362.20112",0.012244,-6.3518
"365.19747",0.012418,-6.3314
"435.3122",0.012448,-6.328
"306.15454",0.012478,-6.3245
"165.0257",79.316,6.3095
"528.28151",79.031,6.3043
"238.07739",78.824,6.3006
"335.16163",0.012689,-6.3003
"473.25211",78.34,6.2917
"589.30274",77.8,6.2817
"285.12449",77.694,6.2797
"466.80366",0.012939,-6.2722
"262.16442",0.012955,-6.2703
"302.10373",0.013068,-6.2579
"483.2038",76.469,6.2568
"455.29403",0.013129,-6.2511
"393.24181",0.013163,-6.2473
"283.09414",75.289,6.2344
"413.20071",74.319,6.2157
"605.40556",74.079,6.211
"425.16399",73.764,6.2048
"455.37486",0.013575,-6.2029
"445.19042",73.27,6.1952
"698.24901",0.013738,-6.1857
"159.06528278",72.567,6.1812
"319.22807",0.013782,-6.1811
"202.10774296",72.559,6.1811
"297.11367",0.01379,-6.1802
"186.05518",72.431,6.1785
"697.24562",0.013852,-6.1738
"237.07686",0.013906,-6.1681
"411.08393",71.804,6.166
"803.54441",71.78,6.1655
"283.11421",71.542,6.1607
"165.06595",71.064,6.151
"272.12967",70.837,6.1464
"211.06066",70.686,6.1434
"391.28582",0.014241,-6.1338
"694.4898",69.831,6.1258
"229.14428158",0.014354,-6.1224
"465.2635",0.014383,-6.1195
"285.07739",0.0145,-6.1078
"555.44204",68.631,6.1008
"124.02274",68.537,6.0988
"167.02147",68.312,6.0941
"329.10339",0.014655,-6.0925
"291.17191",0.014711,-6.087
"445.15676",67.93,6.086
"435.31175",0.014721,-6.0859
"400.99783",0.014752,-6.083
"423.31205",0.014822,-6.0761
"436.31526",0.014829,-6.0755
"549.16847",67.107,6.0684
"383.06671",66.853,6.0629
"486.22473",0.014987,-6.0601
"117.92741",66.64,6.0583
"202.11606",0.01504,-6.0551
"630.45778",66.18,6.0483
"455.24761",66.164,6.048
"506.32504",66.125,6.0471
"540.33684",66.087,6.0463
"376.1041",65.712,6.0381
"589.17181",0.01523,-6.037
"620.45316",65.638,6.0365
"511.27328",65.544,6.0344
"412.08695",65.522,6.0339
"245.04901",65.411,6.0315
"308.17035",0.015315,-6.0289
"376.21673",0.015345,-6.0261
"542.31154",64.914,6.0205
"243.17151",0.015628,-5.9998
"591.39077",63.914,5.9981
"195.05168",63.349,5.9852
"321.13052",62.913,5.9753
"452.3093",62.854,5.9739
"118.02868",61.906,5.952
"557.45753",61.884,5.9515
"383.18996",61.834,5.9503
"209.09265",0.01619,-5.9488
"272.19524",0.016207,-5.9473
"505.32888",61.349,5.939
"263.10366",61.172,5.9348
"673.30908",0.016373,-5.9325
"510.31588",0.016392,-5.9309
"431.19036",60.999,5.9307
"370.14255",60.94,5.9293
"359.19018",0.016568,-5.9155
"407.28057",60.315,5.9144
"120.05231",60.119,5.9097
"388.25289",60.106,5.9094
"211.05101",59.993,5.9067
"781.56251",59.985,5.9065
"629.45525",59.79,5.9018
"504.27106",59.603,5.8973
"476.27086",59.59,5.897
"287.14004",59.488,5.8945
"313.05042",59.169,5.8868
"330.1068",0.016932,-5.8841
"331.24946337",0.016936,-5.8837
"261.16112",0.01695,-5.8826
"535.31028",0.01698,-5.88
"677.44507",58.425,5.8685
"651.42964",58.054,5.8593
"423.16203",57.855,5.8544
"527.35489",57.66,5.8495
"781.56266",57.618,5.8484
"476.27862",57.348,5.8417
"232.90204",0.017614,-5.8271
"345.13494",0.017648,-5.8243
"464.31534",56.599,5.8227
"539.32259",56.554,5.8215
"119.02228",56.252,5.8138
"188.04019",56.045,5.8085
"436.13128",55.883,5.8043
"477.22896",55.476,5.7938
"396.14467",54.937,5.7797
"446.19367246",54.891,5.7785
"503.26803544",54.737,5.7744
"417.33794",0.018351,-5.768
"466.23475",54.49,5.7679
"299.12933",0.018354,-5.7677
"442.25972",54.256,5.7617
"606.30198",0.018435,-5.7614
"543.29755",53.908,5.7524
"607.38559",53.87,5.7514
