"","Overall"
"367.21278",42.862
"265.10847",42.85
"631.47019",42.839
"627.35692",42.808
"305.01828",42.751
"286.12784",42.716
"454.26635",42.702
"375.23072",42.679
"630.45778",42.642
"431.30945",42.641
"331.25516",42.638
"146.08111",42.631
"279.6143",42.617
"465.30501702",42.482
"577.37416",42.478
"555.38552",42.47
"506.32504",42.442
"665.21496",42.404
"506.34801",42.39
"515.41016",42.084
"635.30906",42.07
"784.58085",42.006
"299.25517",41.983
"446.25775",41.949
"550.05514",41.919
"375.09634",41.81
"488.24031",41.773
"423.31205",41.638
"555.29364",41.495
"287.61203",41.473
"359.19014",41.455
"712.55311",41.4
"624.31835",41.288
"251.09273",41.279
"418.3102",41.276
"332.25297",41.27
"383.35337",41.258
"447.31212",41.245
"392.12033",41.201
"250.07218",41.148
"727.37613",41.141
"623.34137",41.097
"515.24164",41.048
"436.31526",40.945
"332.15936",40.933
"428.18281",40.923
"331.23538",40.919
"525.33996",40.867
"376.21673",40.831
"471.33283",40.791
"549.31741",40.781
"442.24452",40.774
"471.34799",40.77
"470.2755",40.75
"350.23723",40.708
"427.17934",40.689
"821.55573",40.612
"542.33611",40.585
"261.0746",40.573
"367.15901",40.512
"407.11483",40.503
"381.17388",40.494
"465.30528",40.484
"445.15676",40.473
"475.23431",40.39
"283.10791",40.358
"435.14574",40.353
"486.22473",40.312
"637.52171",40.297
"285.08045",40.289
"556.3313",40.288
"304.10093",40.269
"331.24946337",40.21
"454.34114",40.183
"490.23077",40.159
"767.42262",40.137
"319.16668",40.115
"611.50562",40.113
"261.11916",40.07
"579.49949",40.053
"383.15409",40.045
"505.33585",40.043
"580.39794",39.938
"392.27343",39.937
"487.20145",39.934
"589.30294",39.92
"357.15921",39.86
"309.10778",39.854
"456.25053",39.839
"369.30148",39.793
"679.49506",39.775
"316.12742",39.746
"409.33287",39.732
"244.14124",39.731
"556.345",39.71
"445.19044540",39.695
"361.14104",39.674
"359.19018",39.672
"439.26225",39.618
"449.36419",39.584
"319.16669",39.483
"556.29704",39.451
"483.27835",39.451
"797.42799",39.437
"401.16407",39.406
"297.13229",39.393
"337.17739",39.389
"401.29067",39.375
"465.3049",39.316
"446.19367246",39.285
"440.3831",39.271
"439.26644",39.238
"451.24011",39.215
"503.33855",39.205
"232.0589",39.173
"606.30198",39.13
"383.1351",39.126
"291.17191",39.12
"401.21675",39.068
"538.22996",39.047
"219.06356",38.998
"243.12385",38.977
"318.17941",38.956
