"Sample","SA1","SA2","SA3","SA4","SA5","SB1","SB2","SB3","SB4","SB5"
"Label","A","A","A","A","A","B","B","B","B","B"
"150.12106","697738.09736","1065287.72717","697025.16721","917076.19582","570698.1106","510175.1915","971938.61482","553295.27898","1053555.5858","1072505.54236"
"150.1361","229753.99921","309260.42752","249649.22337","231558.21661","314782.72563","262043.52389","142062.98082","207779.17341","249849.49934","224725.45503"
"150.12795","53625640.87859","58318089.34541","56590611.49019","53572127.678","53907472.31511","60856987.52743","54422553.18284","55820363.32393","54690893.60055","58100916.90868"
"151.0355","78800051.82528","49634086.32082","47003772.13574","47561265.29275","48194516.03525","61416923.43479","54622002.12784","50266658.89809","50151487.76399","51573044.70141"
"151.08121","5715867.68541","6033796.4505","5654056.10239","5763636.79944","1526091.72646","5544106.75649","4893254.81919","4234207.15739","4624311.45612","5033317.07825"
"151.13139","5450651.69092","5631609.1857","5327036.0725","5853735.32337","5433086.56551","6262265.66546","5173271.68627","5255507.69849","5277209.36375","6007865.72641"
"152.07098","22732248.6623","19903834.84107","21085320.72372","22192334.26026","20710769.1833","20663178.84872","21233534.34387","18493818.35512","22135806.19728","20513799.09908"
"152.04702","30140117.93603","32562994.65112","31257302.41608","30868305.48358","31025264.73664","32857466.43567","31531445.39435","31347835.51521","30745586.18843","30060765.16575"
"152.07071","8229789.04639","8627363.2167","7922654.3203","7731755.50904","8869334.78894","8224458.33605","7077275.46472","6563243.07389","6486272.24799","6307336.34932"
"152.03607","5703736.17959","3271532.09781","4441122.56881","3491944.83074","4961549.2128","4267749.96019","5030023.36843","3493582.24436","3096554.64704","5295584.17966"
"152.54874","3548949.24037","4048410.74046","3314425.89505","3520378.92452","3384365.75044","4297875.4438","3883270.9842","3637711.20493","3781690.28701","3615490.10733"
"153.074","592423.86525","597197.10014","486293.15115","545424.01868","645020.74533","576043.95397","462297.03011","334414.95897","102708.1075","346510.70086"
"153.03317","10417090.9708","6476487.59391","6156132.33835","6332754.05306","6436881.55341","8137988.59283","7476011.00149","6637755.85747","6606167.50125","338285.98952"
"153.04472","11348333.82002","12477056.79214","12218803.05327","11829073.44181","11994350.78222","12460863.43323","11875788.96182","11688959.22898","11720612.60731","11447134.85547"
"154.08643","10040367.08171","13856828.76422","11336822.55786","10882665.99251","13505936.87782","2123838.43746","2327312.03903","3154897.93471","1740457.70823","2789583.39593"
"154.99045","935707291.11931","898193538.19092","596464339.89119","883588499.18074","798005843.88292","822427911.99828","552362047.00536","838290606.83351","548935281.61165","543241912.62208"
"155.08978","734492.31439","990555.42152","532461.37976","786119.09974","289803.7575","79210.94078","116018.18903","121332.06035","137432.89463","114620.28583"
"155.57484","5183426.42769","7974656.73291","6154456.13261","5786662.90763","5951313.34358","6127390.70614","7424799.31968","7323719.79074","7978015.73604","7570740.37716"
"155.99383","28917255.25177","32180996.03934","21782730.79511","28111268.80811","16833014.99457","28232945.13208","30177022.9589","29256350.0969","29279500.3353","27793818.68979"
"156.07651","218315.24145","392152.67683","682081.23426","709649.31721","773176.14795","922872.88498","1022930.75681","1195997.39613","1047670.51605","1206623.08055"
"156.99094","54410640.58793","52561106.44475","53592591.49138","57340383.33758","51451704.89224","54609698.925","54341586.06707","50424312.73018","48822072.48099","50529493.44212"
"157.03542","45657436834.903","44801548124.1554","44916780682.4228","43726081132.1957","43234952569.4487","43720791607.1639","43692957461.5921","42331482657.1457","42971162254.0765","42425213584.282"
"157.03546","44525805603.8476","10484920135.0008","4955372910.2673","4353711231.22362","580359596.544","32413960760.5293","1095863999.69279","1466813387.55656","33996241836.8805","27853150190.5763"
"157.03541","1859927957.52961","3248055084.02017","1380181877.00546","1336973585.82199","159037409.33333","2212199573.16923","2857448524.81944","113506022.784","974995244.9043","1128414405.42036"
"157.51479","988270681.93056","1025163142.05003","1011555331.58129","981282431.92456","1015756089.55322","1040570038.14417","989444363.73564","1007095787.38768","1045863438.3799","1135027043.76935"
"157.99425","2063342.58278","1966883.30263","2078098.89513","2003249.87146","2149185.38671","2092596.00191","2018502.18738","2032415.88505","2017650.58742","1939214.99088"
"158.09658","25684668.16419","25615638.10727","23944678.32082","24525371.79628","25065838.68858","24263083.18428","26579620.47396","23740554.44875","22628581.13206","12338044.93668"
"158.03483","162638781.81541","541119916.44055","14752022.2785","13740312.5075","15909741.2276","392420495.72126","365185097.09845","52052312.65028","1637737505.501","15266970.2464"
"158.03484","54502543.5877","49133316.82302","1736969.3055","27354177.4785","29040040.35196","64788991.48898","38488120.47853","40835653.15557","21537472.4928","11201145.2154"
"158.15411","43885702.5446","38041664.54593","44544387.1357","38438256.2701","35234734.99943","34725592.81814","40286715.98167","38460775.25416","38990157.78082","33744946.04733"
"158.03474","1012712852.09103","638648888.09799","602672665.37805","621783322.67203","646328770.25102","1823199622.88088","628432963.07162","585808729.67364","1845677783.27147","573354361.366"
"158.51276","130729845.71563","142979532.58689","140593478.95269","138170839.93946","142273838.4676","144098412.51866","131851516.5009","137941359.4308","134241188.68023","149330000.11238"
"158.98627","19847827.38362","18921013.51576","19665686.31989","20088921.06293","19563574.60135","19328638.44351","19650023.96601","18283269.9649","17702115.77987","18233937.06456"
"159.03081","4912746030.26101","4383577471.62422","4521495864.61431","4321463518.34421","4309767422.60317","4432612099.98914","4273977560.78922","4221171529.86767","4403181210.83147","4191553257.65864"
"159.09985","2619195.05168","2598074.31143","2513755.89316","2529746.35715","2524794.25627","1254713.90273","2842033.96923","1151032.41134","1091361.47957","164527.25761"
"159.15748","4000176.4899","3212933.65018","3722967.49317","3315038.77128","3070927.33209","3196011.38748","4072980.31619","3012919.83919","2935640.2141","2957500.63151"
"159.51139","22586676.75102","15378158.07675","15324492.4441","15682489.02053","20563765.39094","23427353.05349","22215520.56152","15644202.21291","15615589.87888","16781331.54859"
"161.05995","45653743.67284","70837609.35681","53111502.03097","52433077.96469","51200531.12064","63163445.83533","47668596.75342","50097626.43463","47144464.35166","48603218.89551"
"162.06327","4453428.04447","6866030.82642","5132668.5316","5180967.73232","4970991.07954","5924480.23531","4550277.24992","4807614.62295","4449111.42968","4683105.26923"
"162.05515","74281391.5486","84298191.20209","74368465.99846","74322786.39924","74444752.95972","74688169.09358","75186088.81302","88254939.90414","78247917.41897","80469965.84225"
"163.05863","6240773.33979","7240911.4764","6242079.07378","6337316.62687","6359146.85542","6336477.99138","6488879.08559","7639307.9187","6531662.01262","6845979.5634"
"163.08677","88136809.25476","94404793.2579","86506647.11189","87306446.93392","85962446.34459","88248013.316","80990609.80899","84452876.51633","85657995.52884","86195993.49017"
"163.14833","4180626.60847","5255802.92415","4075869.97846","3965542.76374","5025583.02392","4799291.21006","3942429.47091","3915359.23122","3879809.56874","3908414.11895"
